INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DISTANCE
1,T,19/01/2020,09:48:26,Unknown,57.509967,N,-4.395809,W,461,0,0
2,T,19/01/2020,09:48:42,Unknown,57.502921,N,-4.387203,W,465,0,0.938124
3,T,19/01/2020,09:48:54,Unknown,57.497541,N,-4.38119,W,484,0,1.636714
4,T,19/01/2020,09:49:07,Unknown,57.491731,N,-4.374413,W,489,0,2.400036
5,T,19/01/2020,09:49:20,Unknown,57.485754,N,-4.367393,W,488,0,3.186875
6,T,19/01/2020,09:51:20,Unknown,57.48258,N,-4.300079,W,446,0,7.230266
7,T,19/01/2020,09:51:26,Unknown,57.484924,N,-4.303221,W,451,0,7.551877
8,T,19/01/2020,09:51:33,Unknown,57.487817,N,-4.306803,W,448,0,7.938725
9,T,19/01/2020,09:51:44,Unknown,57.492359,N,-4.312693,W,458,0,8.555022
10,T,19/01/2020,09:51:57,Unknown,57.497815,N,-4.319448,W,477,0,9.284523
11,T,19/01/2020,09:52:12,Unknown,57.503968,N,-4.327375,W,484,0,10.117555
12,T,19/01/2020,09:54:34,Unknown,57.503243,N,-4.269167,W,493,0,13.599681
13,T,19/01/2020,09:54:47,Unknown,57.497352,N,-4.262174,W,508,0,14.377493
14,T,19/01/2020,09:54:59,Unknown,57.491815,N,-4.255553,W,505,0,15.110153
15,T,19/01/2020,09:55:12,Unknown,57.485987,N,-4.248508,W,505,0,15.883826
16,T,19/01/2020,09:57:04,Unknown,57.482314,N,-4.189293,W,461,0,19.450641
17,T,19/01/2020,09:57:10,Unknown,57.485739,N,-4.191715,W,451,0,19.858529
18,T,19/01/2020,09:57:16,Unknown,57.488533,N,-4.194731,W,438,0,20.218108
19,T,19/01/2020,09:57:28,Unknown,57.49398,N,-4.201247,W,430,0,20.938964
20,T,19/01/2020,09:57:41,Unknown,57.49988,N,-4.208288,W,435,0,21.71919
21,T,19/01/2020,09:57:52,Unknown,57.505058,N,-4.214051,W,451,0,22.390795
22,T,19/01/2020,09:58:05,Unknown,57.510847,N,-4.220637,W,446,0,23.146044
23,T,19/01/2020,10:00:15,Unknown,57.545857,N,-4.203853,W,477,0,27.170356
24,T,19/01/2020,10:00:18,Unknown,57.54458,N,-4.201678,W,480,0,27.362942
25,T,19/01/2020,10:00:25,Unknown,57.541423,N,-4.197848,W,483,0,27.782297
