SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2012,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2012,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2013,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2013,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2013,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2013,0,Poor
JI,Greylag Goose (Icelandic),3100,JAN-2014,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2014,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2014,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2014,0,Poor
JI,Greylag Goose (Icelandic),3100,JAN-2015,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2015,0,Poor
JI,Greylag Goose (Icelandic),3100,OCT-2015,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2015,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2016,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2016,127,Good
JI,Greylag Goose (Icelandic),3100,OCT-2016,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2016,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2017,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2017,44,Good
JI,Greylag Goose (Icelandic),3100,OCT-2017,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2018,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2018,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2018,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2018,0,Poor
JI,Greylag Goose (Icelandic),3100,JAN-2019,0,Poor
JI,Greylag Goose (Icelandic),3100,FEB-2019,0,Poor
PG,Pink-footed Goose,3225,OCT-2012,0,Good
PG,Pink-footed Goose,3225,DEC-2012,0,Good
PG,Pink-footed Goose,3225,JAN-2013,0,Good
PG,Pink-footed Goose,3225,FEB-2013,0,Good
PG,Pink-footed Goose,3225,OCT-2013,0,Good
PG,Pink-footed Goose,3225,DEC-2013,0,Poor
PG,Pink-footed Goose,3225,JAN-2014,0,Good
PG,Pink-footed Goose,3225,FEB-2014,0,Good
PG,Pink-footed Goose,3225,OCT-2014,0,Good
PG,Pink-footed Goose,3225,DEC-2014,0,Poor
PG,Pink-footed Goose,3225,JAN-2015,0,Good
PG,Pink-footed Goose,3225,FEB-2015,0,Poor
PG,Pink-footed Goose,3225,OCT-2015,0,Good
PG,Pink-footed Goose,3225,DEC-2015,0,Good
PG,Pink-footed Goose,3225,JAN-2016,0,Good
PG,Pink-footed Goose,3225,FEB-2016,75,Good
PG,Pink-footed Goose,3225,OCT-2016,0,Good
PG,Pink-footed Goose,3225,DEC-2016,0,Good
PG,Pink-footed Goose,3225,JAN-2017,0,Good
PG,Pink-footed Goose,3225,FEB-2017,0,Good
PG,Pink-footed Goose,3225,OCT-2017,1,Good
PG,Pink-footed Goose,3225,JAN-2018,120,Good
PG,Pink-footed Goose,3225,FEB-2018,0,Good
PG,Pink-footed Goose,3225,OCT-2018,0,Good
PG,Pink-footed Goose,3225,DEC-2018,0,Poor
PG,Pink-footed Goose,3225,JAN-2019,0,Poor
PG,Pink-footed Goose,3225,FEB-2019,0,Poor
MS,Mute Swan,3380,OCT-2012,11,Good
MS,Mute Swan,3380,DEC-2012,0,Good
MS,Mute Swan,3380,JAN-2013,0,Good
MS,Mute Swan,3380,FEB-2013,0,Good
MS,Mute Swan,3380,OCT-2013,0,Good
MS,Mute Swan,3380,DEC-2013,5,Poor
MS,Mute Swan,3380,JAN-2014,0,Good
MS,Mute Swan,3380,FEB-2014,0,Good
MS,Mute Swan,3380,OCT-2014,0,Good
MS,Mute Swan,3380,DEC-2014,5,Poor
MS,Mute Swan,3380,JAN-2015,19,Good
MS,Mute Swan,3380,FEB-2015,11,Poor
MS,Mute Swan,3380,OCT-2015,0,Good
MS,Mute Swan,3380,DEC-2015,0,Good
MS,Mute Swan,3380,JAN-2016,8,Good
MS,Mute Swan,3380,FEB-2016,4,Good
MS,Mute Swan,3380,OCT-2016,7,Good
MS,Mute Swan,3380,DEC-2016,0,Good
MS,Mute Swan,3380,JAN-2017,1,Good
MS,Mute Swan,3380,FEB-2017,5,Good
MS,Mute Swan,3380,OCT-2017,0,Good
MS,Mute Swan,3380,JAN-2018,5,Good
MS,Mute Swan,3380,FEB-2018,5,Good
MS,Mute Swan,3380,OCT-2018,0,Good
MS,Mute Swan,3380,DEC-2018,5,Poor
MS,Mute Swan,3380,JAN-2019,7,Poor
MS,Mute Swan,3380,FEB-2019,5,Poor
WS,Whooper Swan,3430,OCT-2012,0,Good
WS,Whooper Swan,3430,DEC-2012,0,Good
WS,Whooper Swan,3430,JAN-2013,0,Good
WS,Whooper Swan,3430,FEB-2013,0,Good
WS,Whooper Swan,3430,OCT-2013,0,Good
WS,Whooper Swan,3430,DEC-2013,0,Poor
WS,Whooper Swan,3430,JAN-2014,0,Good
WS,Whooper Swan,3430,FEB-2014,0,Good
WS,Whooper Swan,3430,OCT-2014,0,Good
WS,Whooper Swan,3430,DEC-2014,0,Poor
WS,Whooper Swan,3430,JAN-2015,1,Good
WS,Whooper Swan,3430,FEB-2015,0,Poor
WS,Whooper Swan,3430,OCT-2015,0,Good
WS,Whooper Swan,3430,DEC-2015,0,Good
WS,Whooper Swan,3430,JAN-2016,0,Good
WS,Whooper Swan,3430,FEB-2016,0,Good
WS,Whooper Swan,3430,OCT-2016,0,Good
WS,Whooper Swan,3430,DEC-2016,0,Good
WS,Whooper Swan,3430,JAN-2017,0,Good
WS,Whooper Swan,3430,FEB-2017,0,Good
WS,Whooper Swan,3430,OCT-2017,0,Good
WS,Whooper Swan,3430,JAN-2018,0,Good
WS,Whooper Swan,3430,FEB-2018,0,Good
WS,Whooper Swan,3430,OCT-2018,0,Good
WS,Whooper Swan,3430,DEC-2018,0,Poor
WS,Whooper Swan,3430,JAN-2019,0,Poor
WS,Whooper Swan,3430,FEB-2019,0,Poor
SU,Shelduck,3920,OCT-2012,0,Good
SU,Shelduck,3920,DEC-2012,0,Good
SU,Shelduck,3920,JAN-2013,0,Good
SU,Shelduck,3920,FEB-2013,45,Good
SU,Shelduck,3920,OCT-2013,0,Good
SU,Shelduck,3920,DEC-2013,7,Poor
SU,Shelduck,3920,JAN-2014,9,Good
SU,Shelduck,3920,FEB-2014,25,Good
SU,Shelduck,3920,OCT-2014,0,Good
SU,Shelduck,3920,DEC-2014,0,Poor
SU,Shelduck,3920,JAN-2015,0,Good
SU,Shelduck,3920,FEB-2015,0,Poor
SU,Shelduck,3920,OCT-2015,0,Good
SU,Shelduck,3920,DEC-2015,0,Good
SU,Shelduck,3920,JAN-2016,0,Good
SU,Shelduck,3920,FEB-2016,0,Good
SU,Shelduck,3920,OCT-2016,0,Good
SU,Shelduck,3920,DEC-2016,0,Good
SU,Shelduck,3920,JAN-2017,0,Good
SU,Shelduck,3920,FEB-2017,2,Good
SU,Shelduck,3920,OCT-2017,0,Good
SU,Shelduck,3920,JAN-2018,0,Good
SU,Shelduck,3920,FEB-2018,88,Good
SU,Shelduck,3920,OCT-2018,0,Good
SU,Shelduck,3920,DEC-2018,2,Poor
SU,Shelduck,3920,JAN-2019,0,Poor
SU,Shelduck,3920,FEB-2019,34,Poor
SV,Shoveler,4560,OCT-2012,0,Good
SV,Shoveler,4560,DEC-2012,0,Good
SV,Shoveler,4560,JAN-2013,0,Good
SV,Shoveler,4560,FEB-2013,0,Good
SV,Shoveler,4560,OCT-2013,0,Good
SV,Shoveler,4560,DEC-2013,0,Poor
SV,Shoveler,4560,JAN-2014,0,Good
SV,Shoveler,4560,FEB-2014,0,Good
SV,Shoveler,4560,OCT-2014,1,Good
SV,Shoveler,4560,DEC-2014,1,Poor
SV,Shoveler,4560,JAN-2015,0,Good
SV,Shoveler,4560,FEB-2015,0,Poor
SV,Shoveler,4560,OCT-2015,0,Good
SV,Shoveler,4560,DEC-2015,0,Good
SV,Shoveler,4560,JAN-2016,0,Good
SV,Shoveler,4560,FEB-2016,0,Good
SV,Shoveler,4560,OCT-2016,0,Good
SV,Shoveler,4560,DEC-2016,0,Good
SV,Shoveler,4560,JAN-2017,0,Good
SV,Shoveler,4560,FEB-2017,0,Good
SV,Shoveler,4560,OCT-2017,0,Good
SV,Shoveler,4560,JAN-2018,0,Good
SV,Shoveler,4560,FEB-2018,0,Good
SV,Shoveler,4560,OCT-2018,0,Good
SV,Shoveler,4560,DEC-2018,0,Poor
SV,Shoveler,4560,JAN-2019,0,Poor
SV,Shoveler,4560,FEB-2019,0,Poor
WN,Wigeon,4620,OCT-2012,507,Good
WN,Wigeon,4620,DEC-2012,620,Good
WN,Wigeon,4620,JAN-2013,388,Good
WN,Wigeon,4620,FEB-2013,450,Good
WN,Wigeon,4620,OCT-2013,1200,Good
WN,Wigeon,4620,DEC-2013,154,Poor
WN,Wigeon,4620,JAN-2014,234,Good
WN,Wigeon,4620,FEB-2014,72,Good
WN,Wigeon,4620,OCT-2014,129,Good
WN,Wigeon,4620,DEC-2014,633,Poor
WN,Wigeon,4620,JAN-2015,245,Good
WN,Wigeon,4620,FEB-2015,259,Poor
WN,Wigeon,4620,OCT-2015,330,Good
WN,Wigeon,4620,DEC-2015,380,Good
WN,Wigeon,4620,JAN-2016,89,Good
WN,Wigeon,4620,FEB-2016,23,Good
WN,Wigeon,4620,OCT-2016,763,Good
WN,Wigeon,4620,DEC-2016,244,Good
WN,Wigeon,4620,JAN-2017,42,Good
WN,Wigeon,4620,FEB-2017,202,Good
WN,Wigeon,4620,OCT-2017,170,Good
WN,Wigeon,4620,JAN-2018,330,Good
WN,Wigeon,4620,FEB-2018,160,Good
WN,Wigeon,4620,OCT-2018,90,Good
WN,Wigeon,4620,DEC-2018,158,Poor
WN,Wigeon,4620,JAN-2019,393,Poor
WN,Wigeon,4620,FEB-2019,143,Poor
MA,Mallard,4840,OCT-2012,21,Good
MA,Mallard,4840,DEC-2012,33,Good
MA,Mallard,4840,JAN-2013,62,Good
MA,Mallard,4840,FEB-2013,30,Good
MA,Mallard,4840,OCT-2013,35,Good
MA,Mallard,4840,DEC-2013,37,Poor
MA,Mallard,4840,JAN-2014,18,Good
MA,Mallard,4840,FEB-2014,61,Good
MA,Mallard,4840,OCT-2014,40,Good
MA,Mallard,4840,DEC-2014,27,Poor
MA,Mallard,4840,JAN-2015,24,Good
MA,Mallard,4840,FEB-2015,30,Poor
MA,Mallard,4840,OCT-2015,12,Good
MA,Mallard,4840,DEC-2015,9,Good
MA,Mallard,4840,JAN-2016,28,Good
MA,Mallard,4840,FEB-2016,0,Good
MA,Mallard,4840,OCT-2016,19,Good
MA,Mallard,4840,DEC-2016,0,Good
MA,Mallard,4840,JAN-2017,13,Good
