SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2019,12,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2020,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2020,26,Good
CG,Canada Goose,2750,OCT-2019,0,Good
CG,Canada Goose,2750,DEC-2019,0,Good
CG,Canada Goose,2750,JAN-2020,0,Good
CG,Canada Goose,2750,FEB-2020,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,2,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,2,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,0,Good
SU,Shelduck,3920,JAN-2020,0,Good
SU,Shelduck,3920,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,0,Good
WN,Wigeon,4620,DEC-2019,0,Good
WN,Wigeon,4620,JAN-2020,0,Good
WN,Wigeon,4620,FEB-2020,8,Good
MA,Mallard,4840,OCT-2019,9,Good
MA,Mallard,4840,DEC-2019,0,Good
MA,Mallard,4840,JAN-2020,0,Good
MA,Mallard,4840,FEB-2020,0,Good
SP,Scaup,5520,OCT-2019,0,Good
SP,Scaup,5520,DEC-2019,45,Good
SP,Scaup,5520,JAN-2020,71,Good
SP,Scaup,5520,FEB-2020,71,Good
EE,Eider (except Shetland),5690,OCT-2019,37,Good
EE,Eider (except Shetland),5690,DEC-2019,13,Good
EE,Eider (except Shetland),5690,JAN-2020,53,Good
EE,Eider (except Shetland),5690,FEB-2020,95,Good
CX,Common Scoter,5810,OCT-2019,0,Good
CX,Common Scoter,5810,DEC-2019,0,Good
CX,Common Scoter,5810,JAN-2020,8,Good
CX,Common Scoter,5810,FEB-2020,0,Good
LN,Long-tailed Duck,5850,OCT-2019,0,Good
LN,Long-tailed Duck,5850,DEC-2019,23,Good
LN,Long-tailed Duck,5850,JAN-2020,58,Good
LN,Long-tailed Duck,5850,FEB-2020,52,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,2,Good
GN,Goldeneye,5880,JAN-2020,5,Good
