SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
CG,Canada Goose,2750,OCT-2019,0,Good
CG,Canada Goose,2750,DEC-2019,0,Good
CG,Canada Goose,2750,JAN-2020,0,Good
CG,Canada Goose,2750,FEB-2020,0,Good
BY,Barnacle Goose,2955,OCT-2019,0,Good
BY,Barnacle Goose,2955,DEC-2019,0,Good
BY,Barnacle Goose,2955,JAN-2020,0,Good
BY,Barnacle Goose,2955,FEB-2020,0,Good
SJ,Snow Goose,3020,OCT-2019,0,Good
SJ,Snow Goose,3020,DEC-2019,0,Good
SJ,Snow Goose,3020,JAN-2020,0,Good
SJ,Snow Goose,3020,FEB-2020,0,Good
JA,Greylag Goose (British/Irish),3090,OCT-2019,0,Good
JA,Greylag Goose (British/Irish),3090,DEC-2019,0,Good
JA,Greylag Goose (British/Irish),3090,JAN-2020,0,Good
JA,Greylag Goose (British/Irish),3090,FEB-2020,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,130,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,370,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,0,Good
PG,Pink-footed Goose,3225,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,0,Good
SU,Shelduck,3920,JAN-2020,0,Good
SU,Shelduck,3920,FEB-2020,5,Good
WN,Wigeon,4620,OCT-2019,55,Good
WN,Wigeon,4620,DEC-2019,125,Good
WN,Wigeon,4620,JAN-2020,490,Good
WN,Wigeon,4620,FEB-2020,55,Good
MA,Mallard,4840,OCT-2019,25,Good
