SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,1,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,0,Good
WN,Wigeon,4620,DEC-2019,0,Good
WN,Wigeon,4620,JAN-2020,0,Good
WN,Wigeon,4620,FEB-2020,0,Good
KE,King Eider,5610,OCT-2019,0,Good
KE,King Eider,5610,DEC-2019,0,Good
KE,King Eider,5610,JAN-2020,0,Good
KE,King Eider,5610,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,496,Good
EE,Eider (except Shetland),5690,DEC-2019,24,Good
EE,Eider (except Shetland),5690,JAN-2020,42,Good
EE,Eider (except Shetland),5690,FEB-2020,11,Good
CX,Common Scoter,5810,OCT-2019,0,Good
CX,Common Scoter,5810,DEC-2019,0,Good
CX,Common Scoter,5810,JAN-2020,8,Good
CX,Common Scoter,5810,FEB-2020,0,Good
UX,Unidentified scoter,5830,OCT-2019,0,Good
UX,Unidentified scoter,5830,DEC-2019,0,Good
UX,Unidentified scoter,5830,JAN-2020,0,Good
UX,Unidentified scoter,5830,FEB-2020,0,Good
LN,Long-tailed Duck,5850,OCT-2019,4,Good
LN,Long-tailed Duck,5850,DEC-2019,4,Good
LN,Long-tailed Duck,5850,JAN-2020,15,Good
LN,Long-tailed Duck,5850,FEB-2020,6,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,8,Good
GN,Goldeneye,5880,JAN-2020,10,Good
GN,Goldeneye,5880,FEB-2020,3,Good
GD,Goosander,5990,OCT-2019,0,Good
GD,Goosander,5990,DEC-2019,0,Good
GD,Goosander,5990,JAN-2020,0,Good
GD,Goosander,5990,FEB-2020,0,Good
RM,Red-breasted Merganser,6030,OCT-2019,0,Good
RM,Red-breasted Merganser,6030,DEC-2019,4,Good
RM,Red-breasted Merganser,6030,JAN-2020,4,Good
RM,Red-breasted Merganser,6030,FEB-2020,5,Good
RH,Red-throated Diver,16760,OCT-2019,0,Good
RH,Red-throated Diver,16760,DEC-2019,1,Good
RH,Red-throated Diver,16760,JAN-2020,0,Good
RH,Red-throated Diver,16760,FEB-2020,0,Good
H.,Grey Heron,23270,OCT-2019,0,Good
H.,Grey Heron,23270,DEC-2019,0,Good
H.,Grey Heron,23270,JAN-2020,1,Good
