SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2020,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2020,0,Good
BY,Barnacle Goose,2955,OCT-2019,0,Good
BY,Barnacle Goose,2955,DEC-2019,0,Good
BY,Barnacle Goose,2955,JAN-2020,0,Good
BY,Barnacle Goose,2955,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,0,Good
PG,Pink-footed Goose,3225,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,2,Good
MS,Mute Swan,3380,DEC-2019,3,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,0,Good
SU,Shelduck,3920,JAN-2020,0,Good
SU,Shelduck,3920,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,710,Good
WN,Wigeon,4620,DEC-2019,1254,Good
WN,Wigeon,4620,JAN-2020,1184,Good
WN,Wigeon,4620,FEB-2020,1659,Good
MA,Mallard,4840,OCT-2019,0,Good
MA,Mallard,4840,DEC-2019,0,Good
MA,Mallard,4840,JAN-2020,0,Good
MA,Mallard,4840,FEB-2020,0,Good
T.,Teal,5080,OCT-2019,155,Good
T.,Teal,5080,DEC-2019,383,Good
T.,Teal,5080,JAN-2020,190,Good
T.,Teal,5080,FEB-2020,357,Good
TA,Green-winged Teal,5110,OCT-2019,0,Good
TA,Green-winged Teal,5110,DEC-2019,0,Good
TA,Green-winged Teal,5110,JAN-2020,0,Good
TA,Green-winged Teal,5110,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,32,Good
EE,Eider (except Shetland),5690,DEC-2019,66,Good
EE,Eider (except Shetland),5690,JAN-2020,34,Good
EE,Eider (except Shetland),5690,FEB-2020,27,Good
VS,Velvet Scoter,5770,OCT-2019,0,Good
VS,Velvet Scoter,5770,DEC-2019,0,Good
VS,Velvet Scoter,5770,JAN-2020,0,Good
VS,Velvet Scoter,5770,FEB-2020,0,Good
CX,Common Scoter,5810,OCT-2019,0,Good
CX,Common Scoter,5810,DEC-2019,0,Good
CX,Common Scoter,5810,JAN-2020,0,Good
CX,Common Scoter,5810,FEB-2020,0,Good
LN,Long-tailed Duck,5850,OCT-2019,0,Good
LN,Long-tailed Duck,5850,DEC-2019,8,Good
LN,Long-tailed Duck,5850,JAN-2020,1,Good
LN,Long-tailed Duck,5850,FEB-2020,1,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,0,Good
GN,Goldeneye,5880,JAN-2020,0,Good
GN,Goldeneye,5880,FEB-2020,1,Good
GD,Goosander,5990,OCT-2019,0,Good
GD,Goosander,5990,DEC-2019,0,Good
GD,Goosander,5990,JAN-2020,0,Good
GD,Goosander,5990,FEB-2020,0,Good
RM,Red-breasted Merganser,6030,OCT-2019,0,Good
RM,Red-breasted Merganser,6030,DEC-2019,1,Good
RM,Red-breasted Merganser,6030,JAN-2020,0,Good
RM,Red-breasted Merganser,6030,FEB-2020,1,Good
RH,Red-throated Diver,16760,OCT-2019,1,Good
RH,Red-throated Diver,16760,DEC-2019,0,Good
RH,Red-throated Diver,16760,JAN-2020,1,Good
RH,Red-throated Diver,16760,FEB-2020,1,Good
BV,Black-throated Diver,16770,OCT-2019,0,Good
BV,Black-throated Diver,16770,DEC-2019,0,Good
BV,Black-throated Diver,16770,JAN-2020,0,Good
BV,Black-throated Diver,16770,FEB-2020,0,Good
ND,Great Northern Diver,16810,OCT-2019,0,Good
ND,Great Northern Diver,16810,DEC-2019,0,Good
ND,Great Northern Diver,16810,JAN-2020,0,Good
ND,Great Northern Diver,16810,FEB-2020,0,Good
LG,Little Grebe,19830,OCT-2019,0,Good
LG,Little Grebe,19830,DEC-2019,2,Good
LG,Little Grebe,19830,JAN-2020,2,Good
LG,Little Grebe,19830,FEB-2020,0,Good
RX,Red-necked Grebe,20280,OCT-2019,0,Good
RX,Red-necked Grebe,20280,DEC-2019,0,Good
RX,Red-necked Grebe,20280,JAN-2020,0,Good
RX,Red-necked Grebe,20280,FEB-2020,0,Good
SZ,Slavonian Grebe,20350,OCT-2019,0,Good
SZ,Slavonian Grebe,20350,DEC-2019,0,Good
SZ,Slavonian Grebe,20350,JAN-2020,0,Good
SZ,Slavonian Grebe,20350,FEB-2020,0,Good
H.,Grey Heron,23270,OCT-2019,2,Good
H.,Grey Heron,23270,DEC-2019,1,Good
H.,Grey Heron,23270,JAN-2020,0,Good
H.,Grey Heron,23270,FEB-2020,0,Good
SA,Shag,24940,OCT-2019,24,Good
SA,Shag,24940,DEC-2019,7,Good
SA,Shag,24940,JAN-2020,22,Good
SA,Shag,24940,FEB-2020,1,Good
CA,Cormorant,25040,OCT-2019,41,Good
CA,Cormorant,25040,DEC-2019,14,Good
CA,Cormorant,25040,JAN-2020,7,Good
CA,Cormorant,25040,FEB-2020,4,Good
OC,Oystercatcher,39840,OCT-2019,56,Good
OC,Oystercatcher,39840,DEC-2019,39,Good
OC,Oystercatcher,39840,JAN-2020,101,Good
OC,Oystercatcher,39840,FEB-2020,41,Good
L.,Lapwing,40200,OCT-2019,0,Good
L.,Lapwing,40200,DEC-2019,0,Good
L.,Lapwing,40200,JAN-2020,0,Good
L.,Lapwing,40200,FEB-2020,0,Good
GV,Grey Plover,40750,OCT-2019,0,Good
GV,Grey Plover,40750,DEC-2019,0,Good
GV,Grey Plover,40750,JAN-2020,0,Good
GV,Grey Plover,40750,FEB-2020,0,Good
RP,Ringed Plover,40830,OCT-2019,0,Good
RP,Ringed Plover,40830,DEC-2019,2,Good
RP,Ringed Plover,40830,JAN-2020,0,Good
RP,Ringed Plover,40830,FEB-2020,0,Good
CU,Curlew,42320,OCT-2019,11,Good
CU,Curlew,42320,DEC-2019,143,Good
CU,Curlew,42320,JAN-2020,3,Good
CU,Curlew,42320,FEB-2020,4,Good
BA,Bar-tailed Godwit,42370,OCT-2019,2,Good
BA,Bar-tailed Godwit,42370,DEC-2019,4,Good
BA,Bar-tailed Godwit,42370,JAN-2020,3,Good
