SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2020,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2020,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,1,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,0,Good
PG,Pink-footed Goose,3225,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,3,Good
SU,Shelduck,3920,JAN-2020,39,Good
SU,Shelduck,3920,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,259,Good
WN,Wigeon,4620,DEC-2019,158,Good
WN,Wigeon,4620,JAN-2020,240,Good
WN,Wigeon,4620,FEB-2020,143,Good
MA,Mallard,4840,OCT-2019,2,Good
MA,Mallard,4840,DEC-2019,25,Good
MA,Mallard,4840,JAN-2020,14,Good
MA,Mallard,4840,FEB-2020,0,Good
T.,Teal,5080,OCT-2019,0,Good
T.,Teal,5080,DEC-2019,0,Good
T.,Teal,5080,JAN-2020,0,Good
T.,Teal,5080,FEB-2020,0,Good
TU,Tufted Duck,5510,OCT-2019,0,Good
TU,Tufted Duck,5510,DEC-2019,0,Good
TU,Tufted Duck,5510,JAN-2020,0,Good
TU,Tufted Duck,5510,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,0,Good
EE,Eider (except Shetland),5690,DEC-2019,6,Good
EE,Eider (except Shetland),5690,JAN-2020,578,Good
EE,Eider (except Shetland),5690,FEB-2020,590,Good
VS,Velvet Scoter,5770,OCT-2019,0,Good
VS,Velvet Scoter,5770,DEC-2019,7,Good
VS,Velvet Scoter,5770,JAN-2020,0,Good
VS,Velvet Scoter,5770,FEB-2020,3,Good
CX,Common Scoter,5810,OCT-2019,17,Good
CX,Common Scoter,5810,DEC-2019,17,Good
CX,Common Scoter,5810,JAN-2020,4,Good
CX,Common Scoter,5810,FEB-2020,646,Good
LN,Long-tailed Duck,5850,OCT-2019,2,Good
LN,Long-tailed Duck,5850,DEC-2019,523,Good
LN,Long-tailed Duck,5850,JAN-2020,872,Good
LN,Long-tailed Duck,5850,FEB-2020,1583,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,1,Good
GN,Goldeneye,5880,JAN-2020,3,Good
GN,Goldeneye,5880,FEB-2020,1,Good
RM,Red-breasted Merganser,6030,OCT-2019,9,Good
RM,Red-breasted Merganser,6030,DEC-2019,2,Good
RM,Red-breasted Merganser,6030,JAN-2020,3,Good
RM,Red-breasted Merganser,6030,FEB-2020,9,Good
RH,Red-throated Diver,16760,OCT-2019,1,Good
RH,Red-throated Diver,16760,DEC-2019,1,Good
RH,Red-throated Diver,16760,JAN-2020,1,Good
RH,Red-throated Diver,16760,FEB-2020,0,Good
ND,Great Northern Diver,16810,OCT-2019,0,Good
ND,Great Northern Diver,16810,DEC-2019,0,Good
ND,Great Northern Diver,16810,JAN-2020,0,Good
ND,Great Northern Diver,16810,FEB-2020,0,Good
SZ,Slavonian Grebe,20350,OCT-2019,0,Good
SZ,Slavonian Grebe,20350,DEC-2019,0,Good
SZ,Slavonian Grebe,20350,JAN-2020,0,Good
SZ,Slavonian Grebe,20350,FEB-2020,0,Good
H.,Grey Heron,23270,OCT-2019,1,Good
H.,Grey Heron,23270,DEC-2019,0,Good
H.,Grey Heron,23270,JAN-2020,0,Good
H.,Grey Heron,23270,FEB-2020,0,Good
SA,Shag,24940,OCT-2019,0,Good
SA,Shag,24940,DEC-2019,0,Good
SA,Shag,24940,JAN-2020,0,Good
SA,Shag,24940,FEB-2020,11,Good
CA,Cormorant,25040,OCT-2019,19,Good
CA,Cormorant,25040,DEC-2019,11,Good
CA,Cormorant,25040,JAN-2020,12,Good
CA,Cormorant,25040,FEB-2020,6,Good
OC,Oystercatcher,39840,OCT-2019,556,Good
OC,Oystercatcher,39840,DEC-2019,505,Good
OC,Oystercatcher,39840,JAN-2020,670,Good
OC,Oystercatcher,39840,FEB-2020,392,Good
GP,Golden Plover,40710,OCT-2019,0,Good
GP,Golden Plover,40710,DEC-2019,0,Good
GP,Golden Plover,40710,JAN-2020,0,Good
GP,Golden Plover,40710,FEB-2020,0,Good
GV,Grey Plover,40750,OCT-2019,14,Good
GV,Grey Plover,40750,DEC-2019,21,Good
GV,Grey Plover,40750,JAN-2020,11,Good
GV,Grey Plover,40750,FEB-2020,6,Good
RP,Ringed Plover,40830,OCT-2019,0,Good
RP,Ringed Plover,40830,DEC-2019,0,Good
RP,Ringed Plover,40830,JAN-2020,0,Good
RP,Ringed Plover,40830,FEB-2020,0,Good
CU,Curlew,42320,OCT-2019,147,Good
CU,Curlew,42320,DEC-2019,207,Good
CU,Curlew,42320,JAN-2020,193,Good
CU,Curlew,42320,FEB-2020,181,Good
BA,Bar-tailed Godwit,42370,OCT-2019,37,Good
BA,Bar-tailed Godwit,42370,DEC-2019,46,Good
BA,Bar-tailed Godwit,42370,JAN-2020,72,Good
BA,Bar-tailed Godwit,42370,FEB-2020,33,Good
TT,Turnstone,42510,OCT-2019,11,Good
TT,Turnstone,42510,DEC-2019,5,Good
TT,Turnstone,42510,JAN-2020,28,Good
TT,Turnstone,42510,FEB-2020,0,Good
KN,Knot,42620,OCT-2019,13,Good
KN,Knot,42620,DEC-2019,1,Good
KN,Knot,42620,JAN-2020,2100,Good
KN,Knot,42620,FEB-2020,80,Good
SS,Sanderling,42810,OCT-2019,0,Good
SS,Sanderling,42810,DEC-2019,137,Good
SS,Sanderling,42810,JAN-2020,83,Good
SS,Sanderling,42810,FEB-2020,3,Good
DN,Dunlin,42840,OCT-2019,0,Good
DN,Dunlin,42840,DEC-2019,922,Good
DN,Dunlin,42840,JAN-2020,1576,Good
DN,Dunlin,42840,FEB-2020,580,Good
