SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-1999,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-1999,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2002,26,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2003,40,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2004,29,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2005,9,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,NOV-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2006,42,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2007,22,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2007,17,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2007,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2007,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2008,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2008,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2008,27,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2008,41,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2009,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2009,64,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2009,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2009,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2010,3,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2011,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2011,34,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2012,64,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2012,31,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2014,64,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2014,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2014,1,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2014,37,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2015,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2015,52,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2015,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2015,74,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2016,32,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2016,2,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2016,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2016,49,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2017,23,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2017,76,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2017,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2018,56,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2018,47,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2018,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2019,4,Good
CG,Canada Goose,2750,OCT-1999,0,Good
CG,Canada Goose,2750,DEC-1999,0,Good
CG,Canada Goose,2750,JAN-2000,0,Good
CG,Canada Goose,2750,FEB-2000,0,Good
CG,Canada Goose,2750,OCT-2000,0,Good
CG,Canada Goose,2750,DEC-2000,0,Good
CG,Canada Goose,2750,JAN-2001,0,Good
CG,Canada Goose,2750,FEB-2001,0,Good
CG,Canada Goose,2750,OCT-2001,0,Good
CG,Canada Goose,2750,DEC-2001,0,Good
CG,Canada Goose,2750,JAN-2002,0,Good
CG,Canada Goose,2750,FEB-2002,0,Good
CG,Canada Goose,2750,OCT-2002,0,Good
CG,Canada Goose,2750,DEC-2002,0,Good
CG,Canada Goose,2750,JAN-2003,0,Good
CG,Canada Goose,2750,FEB-2003,0,Good
CG,Canada Goose,2750,OCT-2003,0,Good
CG,Canada Goose,2750,JAN-2004,0,Good
CG,Canada Goose,2750,FEB-2004,0,Good
CG,Canada Goose,2750,OCT-2004,0,Good
CG,Canada Goose,2750,DEC-2004,0,Good
CG,Canada Goose,2750,FEB-2005,0,Good
CG,Canada Goose,2750,OCT-2005,0,Good
CG,Canada Goose,2750,NOV-2005,0,Good
CG,Canada Goose,2750,DEC-2005,0,Good
