SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-1999,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-1999,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2000,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2000,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2001,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2002,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2002,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2003,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2004,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2005,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2006,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2007,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2007,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2007,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2007,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2008,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2008,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2008,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2008,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2009,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2009,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2009,11,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2010,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2011,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JUN-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2012,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2012,2,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2013,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2013,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2014,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2014,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2014,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2014,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2015,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2015,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2015,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2015,0,Poor
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2016,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2016,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2016,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2016,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2017,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2017,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2017,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2017,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2018,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2018,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2019,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-1999,32,Good
JI,Greylag Goose (Icelandic),3100,DEC-1999,6,Good
JI,Greylag Goose (Icelandic),3100,JAN-2000,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2000,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2000,0,Poor
JI,Greylag Goose (Icelandic),3100,DEC-2000,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2001,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2001,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2001,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2001,1720,Good
JI,Greylag Goose (Icelandic),3100,JAN-2002,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2002,45,Poor
JI,Greylag Goose (Icelandic),3100,OCT-2002,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2002,4,Good
JI,Greylag Goose (Icelandic),3100,JAN-2003,15,Good
JI,Greylag Goose (Icelandic),3100,FEB-2003,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2003,15,Good
JI,Greylag Goose (Icelandic),3100,DEC-2003,0,Good
