SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,50,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,0,Good
PG,Pink-footed Goose,3225,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,87,Good
WN,Wigeon,4620,DEC-2019,120,Good
WN,Wigeon,4620,JAN-2020,181,Good
WN,Wigeon,4620,FEB-2020,272,Good
MA,Mallard,4840,OCT-2019,5,Good
MA,Mallard,4840,DEC-2019,104,Good
MA,Mallard,4840,JAN-2020,35,Good
MA,Mallard,4840,FEB-2020,33,Good
PT,Pintail,5070,OCT-2019,0,Good
PT,Pintail,5070,DEC-2019,14,Good
PT,Pintail,5070,JAN-2020,15,Good
PT,Pintail,5070,FEB-2020,5,Good
T.,Teal,5080,OCT-2019,0,Good
T.,Teal,5080,DEC-2019,126,Good
T.,Teal,5080,JAN-2020,225,Good
T.,Teal,5080,FEB-2020,0,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,2,Good
GN,Goldeneye,5880,JAN-2020,0,Good
GN,Goldeneye,5880,FEB-2020,0,Good
GD,Goosander,5990,OCT-2019,1,Good
GD,Goosander,5990,DEC-2019,0,Good
GD,Goosander,5990,JAN-2020,0,Good
GD,Goosander,5990,FEB-2020,0,Good
RM,Red-breasted Merganser,6030,OCT-2019,0,Good
RM,Red-breasted Merganser,6030,DEC-2019,0,Good
RM,Red-breasted Merganser,6030,JAN-2020,0,Good
RM,Red-breasted Merganser,6030,FEB-2020,0,Good
H.,Grey Heron,23270,OCT-2019,0,Good
H.,Grey Heron,23270,DEC-2019,1,Good
H.,Grey Heron,23270,JAN-2020,0,Good
H.,Grey Heron,23270,FEB-2020,2,Good
SA,Shag,24940,OCT-2019,0,Good
SA,Shag,24940,DEC-2019,0,Good
SA,Shag,24940,JAN-2020,0,Good
SA,Shag,24940,FEB-2020,0,Good
CA,Cormorant,25040,OCT-2019,1,Good
CA,Cormorant,25040,DEC-2019,0,Good
CA,Cormorant,25040,JAN-2020,0,Good
CA,Cormorant,25040,FEB-2020,0,Good
OC,Oystercatcher,39840,OCT-2019,30,Good
OC,Oystercatcher,39840,DEC-2019,76,Good
OC,Oystercatcher,39840,JAN-2020,47,Good
OC,Oystercatcher,39840,FEB-2020,136,Good
L.,Lapwing,40200,OCT-2019,4,Good
L.,Lapwing,40200,DEC-2019,21,Good
L.,Lapwing,40200,JAN-2020,0,Good
L.,Lapwing,40200,FEB-2020,0,Good
CU,Curlew,42320,OCT-2019,47,Good
CU,Curlew,42320,DEC-2019,31,Good
CU,Curlew,42320,JAN-2020,19,Good
CU,Curlew,42320,FEB-2020,49,Good
BA,Bar-tailed Godwit,42370,OCT-2019,5,Good
BA,Bar-tailed Godwit,42370,DEC-2019,115,Good
BA,Bar-tailed Godwit,42370,JAN-2020,0,Good
BA,Bar-tailed Godwit,42370,FEB-2020,2,Good
BW,Black-tailed Godwit,42420,OCT-2019,0,Good
BW,Black-tailed Godwit,42420,DEC-2019,40,Good
BW,Black-tailed Godwit,42420,JAN-2020,0,Good
BW,Black-tailed Godwit,42420,FEB-2020,0,Good
KN,Knot,42620,OCT-2019,0,Good
KN,Knot,42620,DEC-2019,0,Good
KN,Knot,42620,JAN-2020,0,Good
KN,Knot,42620,FEB-2020,150,Good
DN,Dunlin,42840,OCT-2019,0,Good
DN,Dunlin,42840,DEC-2019,3,Good
DN,Dunlin,42840,JAN-2020,0,Good
DN,Dunlin,42840,FEB-2020,0,Good
RK,Redshank,43920,OCT-2019,8,Good
RK,Redshank,43920,DEC-2019,67,Good
RK,Redshank,43920,JAN-2020,49,Good
RK,Redshank,43920,FEB-2020,27,Good
