SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
QS,Brent Goose (Svalbard Light-bellied),2710,OCT-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,DEC-2019,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,JAN-2020,0,Good
QS,Brent Goose (Svalbard Light-bellied),2710,FEB-2020,0,Poor
JI,Greylag Goose (Icelandic),3100,OCT-2019,200,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Poor
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,0,Good
PG,Pink-footed Goose,3225,FEB-2020,80,Poor
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Poor
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Poor
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,42,Good
SU,Shelduck,3920,JAN-2020,75,Good
SU,Shelduck,3920,FEB-2020,138,Poor
WN,Wigeon,4620,OCT-2019,660,Good
WN,Wigeon,4620,DEC-2019,910,Good
WN,Wigeon,4620,JAN-2020,720,Good
WN,Wigeon,4620,FEB-2020,700,Poor
MA,Mallard,4840,OCT-2019,120,Good
MA,Mallard,4840,DEC-2019,270,Good
MA,Mallard,4840,JAN-2020,35,Good
MA,Mallard,4840,FEB-2020,70,Poor
PT,Pintail,5070,OCT-2019,0,Good
PT,Pintail,5070,DEC-2019,0,Good
PT,Pintail,5070,JAN-2020,0,Good
PT,Pintail,5070,FEB-2020,0,Poor
T.,Teal,5080,OCT-2019,0,Good
T.,Teal,5080,DEC-2019,23,Good
T.,Teal,5080,JAN-2020,7,Good
T.,Teal,5080,FEB-2020,0,Poor
EE,Eider (except Shetland),5690,OCT-2019,50,Good
EE,Eider (except Shetland),5690,DEC-2019,17,Good
EE,Eider (except Shetland),5690,JAN-2020,20,Good
EE,Eider (except Shetland),5690,FEB-2020,6,Poor
CX,Common Scoter,5810,OCT-2019,0,Good
CX,Common Scoter,5810,DEC-2019,0,Good
CX,Common Scoter,5810,JAN-2020,0,Good
CX,Common Scoter,5810,FEB-2020,0,Poor
LN,Long-tailed Duck,5850,OCT-2019,0,Good
LN,Long-tailed Duck,5850,DEC-2019,0,Good
LN,Long-tailed Duck,5850,JAN-2020,0,Good
LN,Long-tailed Duck,5850,FEB-2020,0,Poor
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,8,Good
GN,Goldeneye,5880,JAN-2020,0,Good
GN,Goldeneye,5880,FEB-2020,0,Poor
GD,Goosander,5990,OCT-2019,0,Good
GD,Goosander,5990,DEC-2019,0,Good
GD,Goosander,5990,JAN-2020,0,Good
GD,Goosander,5990,FEB-2020,0,Poor
RM,Red-breasted Merganser,6030,OCT-2019,0,Good
RM,Red-breasted Merganser,6030,DEC-2019,13,Good
RM,Red-breasted Merganser,6030,JAN-2020,65,Good
RM,Red-breasted Merganser,6030,FEB-2020,2,Poor
RH,Red-throated Diver,16760,OCT-2019,0,Good
RH,Red-throated Diver,16760,DEC-2019,0,Good
RH,Red-throated Diver,16760,JAN-2020,0,Good
RH,Red-throated Diver,16760,FEB-2020,0,Poor
BV,Black-throated Diver,16770,OCT-2019,0,Good
BV,Black-throated Diver,16770,DEC-2019,0,Good
BV,Black-throated Diver,16770,JAN-2020,0,Good
BV,Black-throated Diver,16770,FEB-2020,0,Poor
ND,Great Northern Diver,16810,OCT-2019,0,Good
ND,Great Northern Diver,16810,DEC-2019,0,Good
ND,Great Northern Diver,16810,JAN-2020,0,Good
ND,Great Northern Diver,16810,FEB-2020,0,Poor
LG,Little Grebe,19830,OCT-2019,0,Good
LG,Little Grebe,19830,DEC-2019,3,Good
LG,Little Grebe,19830,JAN-2020,3,Good
LG,Little Grebe,19830,FEB-2020,0,Poor
SZ,Slavonian Grebe,20350,OCT-2019,0,Good
SZ,Slavonian Grebe,20350,DEC-2019,1,Good
SZ,Slavonian Grebe,20350,JAN-2020,0,Good
SZ,Slavonian Grebe,20350,FEB-2020,0,Poor
H.,Grey Heron,23270,OCT-2019,4,Good
H.,Grey Heron,23270,DEC-2019,6,Good
H.,Grey Heron,23270,JAN-2020,4,Good
H.,Grey Heron,23270,FEB-2020,0,Poor
SA,Shag,24940,OCT-2019,0,Good
SA,Shag,24940,DEC-2019,0,Good
SA,Shag,24940,JAN-2020,0,Good
SA,Shag,24940,FEB-2020,0,Poor
CA,Cormorant,25040,OCT-2019,18,Good
CA,Cormorant,25040,DEC-2019,14,Good
CA,Cormorant,25040,JAN-2020,14,Good
CA,Cormorant,25040,FEB-2020,16,Poor
OC,Oystercatcher,39840,OCT-2019,630,Good
OC,Oystercatcher,39840,DEC-2019,450,Good
OC,Oystercatcher,39840,JAN-2020,500,Good
OC,Oystercatcher,39840,FEB-2020,350,Poor
L.,Lapwing,40200,OCT-2019,25,Good
L.,Lapwing,40200,DEC-2019,14,Good
L.,Lapwing,40200,JAN-2020,27,Good
L.,Lapwing,40200,FEB-2020,27,Poor
RP,Ringed Plover,40830,OCT-2019,135,Good
RP,Ringed Plover,40830,DEC-2019,55,Good
RP,Ringed Plover,40830,JAN-2020,80,Good
RP,Ringed Plover,40830,FEB-2020,0,Poor
WM,Whimbrel,42190,OCT-2019,0,Good
WM,Whimbrel,42190,DEC-2019,0,Good
WM,Whimbrel,42190,JAN-2020,0,Good
WM,Whimbrel,42190,FEB-2020,0,Poor
CU,Curlew,42320,OCT-2019,610,Good
CU,Curlew,42320,DEC-2019,320,Good
CU,Curlew,42320,JAN-2020,230,Good
CU,Curlew,42320,FEB-2020,260,Poor
BA,Bar-tailed Godwit,42370,OCT-2019,0,Good
BA,Bar-tailed Godwit,42370,DEC-2019,62,Good
BA,Bar-tailed Godwit,42370,JAN-2020,42,Good
BA,Bar-tailed Godwit,42370,FEB-2020,130,Poor
BW,Black-tailed Godwit,42420,OCT-2019,59,Good
BW,Black-tailed Godwit,42420,DEC-2019,0,Good
BW,Black-tailed Godwit,42420,JAN-2020,0,Good
BW,Black-tailed Godwit,42420,FEB-2020,0,Poor
TT,Turnstone,42510,OCT-2019,0,Good
TT,Turnstone,42510,DEC-2019,12,Good
