SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,35,Good
SU,Shelduck,3920,JAN-2020,0,Good
SU,Shelduck,3920,FEB-2020,0,Good
GA,Gadwall,4580,OCT-2019,0,Good
GA,Gadwall,4580,DEC-2019,0,Good
GA,Gadwall,4580,JAN-2020,0,Good
GA,Gadwall,4580,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,300,Good
WN,Wigeon,4620,DEC-2019,145,Good
WN,Wigeon,4620,JAN-2020,49,Good
WN,Wigeon,4620,FEB-2020,120,Good
MA,Mallard,4840,OCT-2019,0,Good
MA,Mallard,4840,DEC-2019,47,Good
MA,Mallard,4840,JAN-2020,6,Good
MA,Mallard,4840,FEB-2020,8,Good
PT,Pintail,5070,OCT-2019,0,Good
PT,Pintail,5070,DEC-2019,13,Good
PT,Pintail,5070,JAN-2020,0,Good
PT,Pintail,5070,FEB-2020,0,Good
T.,Teal,5080,OCT-2019,100,Good
T.,Teal,5080,DEC-2019,285,Good
T.,Teal,5080,JAN-2020,42,Good
T.,Teal,5080,FEB-2020,14,Good
TU,Tufted Duck,5510,OCT-2019,0,Good
TU,Tufted Duck,5510,DEC-2019,0,Good
TU,Tufted Duck,5510,JAN-2020,0,Good
TU,Tufted Duck,5510,FEB-2020,0,Good
SP,Scaup,5520,OCT-2019,2,Good
SP,Scaup,5520,DEC-2019,0,Good
SP,Scaup,5520,JAN-2020,0,Good
SP,Scaup,5520,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,0,Good
EE,Eider (except Shetland),5690,DEC-2019,0,Good
EE,Eider (except Shetland),5690,JAN-2020,0,Good
EE,Eider (except Shetland),5690,FEB-2020,0,Good
LN,Long-tailed Duck,5850,OCT-2019,0,Good
LN,Long-tailed Duck,5850,DEC-2019,0,Good
LN,Long-tailed Duck,5850,JAN-2020,22,Good
LN,Long-tailed Duck,5850,FEB-2020,0,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,2,Good
GN,Goldeneye,5880,JAN-2020,2,Good
GN,Goldeneye,5880,FEB-2020,17,Good
GD,Goosander,5990,OCT-2019,0,Good
GD,Goosander,5990,DEC-2019,0,Good
GD,Goosander,5990,JAN-2020,0,Good
GD,Goosander,5990,FEB-2020,0,Good
RM,Red-breasted Merganser,6030,OCT-2019,0,Good
