SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,75,Good
PG,Pink-footed Goose,3225,FEB-2020,150,Good
NW,White-fronted Goose (Greenland - flaviro,3240,OCT-2019,0,Good
NW,White-fronted Goose (Greenland - flaviro,3240,DEC-2019,0,Good
NW,White-fronted Goose (Greenland - flaviro,3240,JAN-2020,0,Good
NW,White-fronted Goose (Greenland - flaviro,3240,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,4,Good
WS,Whooper Swan,3430,JAN-2020,135,Good
WS,Whooper Swan,3430,FEB-2020,125,Good
SU,Shelduck,3920,OCT-2019,0,Good
SU,Shelduck,3920,DEC-2019,0,Good
SU,Shelduck,3920,JAN-2020,1,Good
SU,Shelduck,3920,FEB-2020,2,Good
WN,Wigeon,4620,OCT-2019,75,Good
WN,Wigeon,4620,DEC-2019,76,Good
WN,Wigeon,4620,JAN-2020,150,Good
WN,Wigeon,4620,FEB-2020,150,Good
AW,American Wigeon,4640,OCT-2019,0,Good
AW,American Wigeon,4640,DEC-2019,0,Good
AW,American Wigeon,4640,JAN-2020,0,Good
AW,American Wigeon,4640,FEB-2020,0,Good
MA,Mallard,4840,OCT-2019,35,Good
MA,Mallard,4840,DEC-2019,89,Good
MA,Mallard,4840,JAN-2020,45,Good
MA,Mallard,4840,FEB-2020,6,Good
PT,Pintail,5070,OCT-2019,0,Good
PT,Pintail,5070,DEC-2019,0,Good
PT,Pintail,5070,JAN-2020,0,Good
PT,Pintail,5070,FEB-2020,0,Good
T.,Teal,5080,OCT-2019,150,Good
T.,Teal,5080,DEC-2019,25,Good
T.,Teal,5080,JAN-2020,250,Good
T.,Teal,5080,FEB-2020,125,Good
TA,Green-winged Teal,5110,OCT-2019,0,Good
TA,Green-winged Teal,5110,DEC-2019,0,Good
TA,Green-winged Teal,5110,JAN-2020,0,Good
TA,Green-winged Teal,5110,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,30,Good
EE,Eider (except Shetland),5690,DEC-2019,0,Good
EE,Eider (except Shetland),5690,JAN-2020,0,Good
EE,Eider (except Shetland),5690,FEB-2020,6,Good
VS,Velvet Scoter,5770,OCT-2019,4,Good
VS,Velvet Scoter,5770,DEC-2019,0,Good
