SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
JI,Greylag Goose (Icelandic),3100,OCT-2019,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2019,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2020,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2020,0,Good
PG,Pink-footed Goose,3225,OCT-2019,0,Good
PG,Pink-footed Goose,3225,DEC-2019,0,Good
PG,Pink-footed Goose,3225,JAN-2020,22,Good
PG,Pink-footed Goose,3225,FEB-2020,0,Good
MS,Mute Swan,3380,OCT-2019,0,Good
MS,Mute Swan,3380,DEC-2019,0,Good
MS,Mute Swan,3380,JAN-2020,0,Good
MS,Mute Swan,3380,FEB-2020,0,Good
WS,Whooper Swan,3430,OCT-2019,0,Good
WS,Whooper Swan,3430,DEC-2019,0,Good
WS,Whooper Swan,3430,JAN-2020,0,Good
WS,Whooper Swan,3430,FEB-2020,0,Good
WN,Wigeon,4620,OCT-2019,0,Good
WN,Wigeon,4620,DEC-2019,0,Good
WN,Wigeon,4620,JAN-2020,0,Good
WN,Wigeon,4620,FEB-2020,0,Good
MA,Mallard,4840,OCT-2019,9,Good
MA,Mallard,4840,DEC-2019,0,Good
MA,Mallard,4840,JAN-2020,0,Good
MA,Mallard,4840,FEB-2020,0,Good
SP,Scaup,5520,OCT-2019,0,Good
SP,Scaup,5520,DEC-2019,0,Good
SP,Scaup,5520,JAN-2020,0,Good
SP,Scaup,5520,FEB-2020,0,Good
EE,Eider (except Shetland),5690,OCT-2019,0,Good
EE,Eider (except Shetland),5690,DEC-2019,0,Good
EE,Eider (except Shetland),5690,JAN-2020,2,Good
EE,Eider (except Shetland),5690,FEB-2020,24,Good
VS,Velvet Scoter,5770,OCT-2019,0,Good
VS,Velvet Scoter,5770,DEC-2019,0,Good
VS,Velvet Scoter,5770,JAN-2020,0,Good
VS,Velvet Scoter,5770,FEB-2020,0,Good
CX,Common Scoter,5810,OCT-2019,1,Good
CX,Common Scoter,5810,DEC-2019,0,Good
CX,Common Scoter,5810,JAN-2020,0,Good
CX,Common Scoter,5810,FEB-2020,0,Good
LN,Long-tailed Duck,5850,OCT-2019,0,Good
LN,Long-tailed Duck,5850,DEC-2019,5,Good
LN,Long-tailed Duck,5850,JAN-2020,14,Good
LN,Long-tailed Duck,5850,FEB-2020,48,Good
GN,Goldeneye,5880,OCT-2019,0,Good
GN,Goldeneye,5880,DEC-2019,4,Good
GN,Goldeneye,5880,JAN-2020,6,Good
GN,Goldeneye,5880,FEB-2020,1,Good
RM,Red-breasted Merganser,6030,OCT-2019,1,Good
RM,Red-breasted Merganser,6030,DEC-2019,8,Good
RM,Red-breasted Merganser,6030,JAN-2020,4,Good
RM,Red-breasted Merganser,6030,FEB-2020,5,Good
RH,Red-throated Diver,16760,OCT-2019,0,Good
RH,Red-throated Diver,16760,DEC-2019,1,Good
