LOC_LABEL,NAME,GRIDREF,ANCESTOR_1,ANCESTOR_N,TOTAL_YRS,id
88471,Deveron Estuary,NJ696645,88471,Deveron Estuary,NA,0
89428,Burghead to Hopeman,NJ125696,89410,Moray Coast,23,1
90434,Lentran to Bunchrew,NH599462,90920,Inner Moray and Beauly Firths,4,2
90436,Bunchrew to Clachnaharry,NH631459,90920,Inner Moray and Beauly Firths,6,3
90437,Longman,NH683466,90920,Inner Moray and Beauly Firths,9,4
90438,Alturlie,NH708480,90920,Inner Moray and Beauly Firths,9,5
90202,Kingsteps Quarry,NH902569,90202,Kingsteps Quarry,NA,6
90203,Minister`s Pool,NH900573,90203,Minister`s Pool,NA,7
90971,Ardjachie - Tain,NH766844,90970,Dornoch Firth,NA,8
90972,Tain - Morrich Mor,NH809845,90970,Dornoch Firth,9,9
90448,Nigg Ferry,NH800685,90950,Cromarty Firth,NA,10
90447,Nigg Oil Terminal,NH787698,90950,Cromarty Firth,NA,11
90446,Bayfield,NH804730,90950,Cromarty Firth,NA,12
90445,Meddat,NH791738,90950,Cromarty Firth,NA,13
90444,Tarbet House,NH763730,90950,Cromarty Firth,NA,14
90443,Saltburn,NH731702,90950,Cromarty Firth,NA,15
90442,Invergordon,NH715688,90950,Cromarty Firth,NA,16
90426,Rosskeen,NH692688,90950,Cromarty Firth,NA,17
90427,Dalmore,NH672686,90950,Cromarty Firth,NA,18
90428,Balconie to Ardullie,NH607643,90950,Cromarty Firth,NA,19
90429,Findon Mains,NH602614,90950,Cromarty Firth,NA,20
90430,Ferryton to Newhall Point,NH695671,90950,Cromarty Firth,NA,21
90431,Newhall Point to Jemimaville,NH711661,90950,Cromarty Firth,NA,22
90432,Jemimaville to Shore Mill,NH735656,90950,Cromarty Firth,NA,23
90433,Shore Mill to Cromarty,NH774669,90950,Cromarty Firth,NA,24
90307,River Nairn - Narin Piers to footbridge,NH888570,90307,River Nairn - Narin Piers to footbridge,NA,25
90468,Tarbat Ness to Portmahomack,NH924873,90970,Dornoch Firth,18,26
90471,Portmahomack to Drumancroy,NH899840,90970,Dornoch Firth,19,27
90472,Dornoch Firth - Inver Bay,NH862829,90970,Dornoch Firth,22,28
90479,Dornoch Firth - Mid-Fearn cut-off,NH637872,90970,Dornoch Firth,NA,29
89415,Buckie - Portgordon,NJ415658,89410,Moray Coast,NA,30
89425,Covesea to Lossiemouth,NJ245705,89410,Moray Coast,23,31
90456,Alness Bay,NH631669,90950,Cromarty Firth,NA,32
90449,Barbaraville,NH743716,90950,Cromarty Firth,NA,33
90465,Toberchurn to Ferryton,NH645649,90950,Cromarty Firth,NA,34
90480,Bonar Bridge - Ardmore Bay,NH646875,90970,Dornoch Firth,NA,35
90070,Cran Loch,NH946590,90071,Cran Loch and Loch Loy,NA,36
90975,Cuthill - Newton Point,NH725870,90970,Dornoch Firth,NA,37
89420,Lossie Estuary,NJ242699,89420,Lossie Estuary,NA,38
90439,Rosemarkie to Cromarty,NH779634,90439,Rosemarkie to Cromarty,NA,39
90418,Rosemarkie to Avoch,NH740571,90920,Inner Moray and Beauly Firths,23,40
90477,Dornoch Firth - Ardmore Bay,NH705875,90970,Dornoch Firth,NA,41
90425,Ness Mouth,NH659468,90920,Inner Moray and Beauly Firths,23,42
90475,Ardmore Bay - Ardjachie,NH726858,90970,Dornoch Firth,NA,43
9.54E+02,Golspie to Brora,NC875012,90994,Loch Fleet Complex,NA,44
