INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DISTANCE
1,T,08/03/2020,10:19:03,Unknown,57.535065,N,-4.426731,W,542,0,0
2,T,08/03/2020,10:19:04,Unknown,57.534506,N,-4.426779,W,543,0,0.062275
3,T,08/03/2020,10:19:05,Unknown,57.533943,N,-4.426737,W,544,0,0.124981
4,T,08/03/2020,10:19:06,Unknown,57.53338,N,-4.426599,W,546,0,0.188227
5,T,08/03/2020,10:19:07,Unknown,57.532821,N,-4.426366,W,547,0,0.252017
6,T,08/03/2020,10:19:08,Unknown,57.532269,N,-4.426043,W,548,0,0.316403
7,T,08/03/2020,10:19:09,Unknown,57.531727,N,-4.425639,W,549,0,0.381403
8,T,08/03/2020,10:19:10,Unknown,57.531198,N,-4.425153,W,550,0,0.447111
9,T,08/03/2020,10:19:11,Unknown,57.530684,N,-4.424589,W,549,0,0.513497
10,T,08/03/2020,10:19:12,Unknown,57.530183,N,-4.423966,W,549,0,0.58051
11,T,08/03/2020,10:19:13,Unknown,57.529691,N,-4.423311,W,549,0,0.647884
12,T,08/03/2020,10:19:14,Unknown,57.529201,N,-4.422645,W,549,0,0.715377
13,T,08/03/2020,10:19:15,Unknown,57.528711,N,-4.421976,W,548,0,0.782968
14,T,08/03/2020,10:19:16,Unknown,57.528223,N,-4.421299,W,547,0,0.850755
15,T,08/03/2020,10:19:17,Unknown,57.527737,N,-4.420608,W,546,0,0.918792
16,T,08/03/2020,10:19:18,Unknown,57.527254,N,-4.419903,W,544,0,0.987093
17,T,08/03/2020,10:19:19,Unknown,57.526772,N,-4.419189,W,542,0,1.055695
18,T,08/03/2020,10:19:20,Unknown,57.526289,N,-4.418467,W,540,0,1.124617
19,T,08/03/2020,10:19:21,Unknown,57.525806,N,-4.417738,W,539,0,1.193844
20,T,08/03/2020,10:19:22,Unknown,57.525323,N,-4.417,W,537,0,1.26339
21,T,08/03/2020,10:19:23,Unknown,57.52484,N,-4.416254,W,535,0,1.333235
22,T,08/03/2020,10:19:24,Unknown,57.524359,N,-4.415495,W,534,0,1.403406
23,T,08/03/2020,10:19:25,Unknown,57.52388,N,-4.414725,W,533,0,1.47384
24,T,08/03/2020,10:19:26,Unknown,57.523401,N,-4.413948,W,533,0,1.544499
25,T,08/03/2020,10:19:27,Unknown,57.522922,N,-4.413171,W,532,0,1.615254
26,T,08/03/2020,10:19:28,Unknown,57.522442,N,-4.412395,W,531,0,1.686031
27,T,08/03/2020,10:19:29,Unknown,57.521961,N,-4.411622,W,531,0,1.756751
28,T,08/03/2020,10:19:30,Unknown,57.521481,N,-4.410851,W,531,0,1.827246
29,T,08/03/2020,10:19:31,Unknown,57.521004,N,-4.410083,W,531,0,1.897491
30,T,08/03/2020,10:19:32,Unknown,57.520529,N,-4.409317,W,531,0,1.967426
31,T,08/03/2020,10:19:33,Unknown,57.520056,N,-4.408556,W,532,0,2.037029
32,T,08/03/2020,10:19:34,Unknown,57.519584,N,-4.407803,W,532,0,2.106235
